"datetime";"date";"time";"price";"shares";"amount";"tax";"fee";"realizedgains";"type";"broker";"assettype";"identifier";"wkn";"originalcurrency";"currency";"fxrate";"holding";"holdingname";"holdingnickname";"exchange";"avgholdingperiod"
"2025-07-05T15:04:30.074Z";"05.07.2025";"17:04:00";1;43,07;43,07;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-04T20:50:00.001Z";"04.07.2025";"22:50:00";230,15;3;690,45;2,48;1;9;"Sell";"trade_republic";"Security";"US79466L3024";"A0B87V";;"EUR";;;"Salesforce";"";"langschwarz";1231200001
"2025-07-04T20:50:00.000Z";"04.07.2025";"22:50:00";230,17;0,301782;69,46;0,25;0;0,91;"Sell";"trade_republic";"Security";"US79466L3024";"A0B87V";;"EUR";;;"Salesforce";"";"langschwarz";1231200000
"2025-07-04T17:19:00.000Z";"04.07.2025";"19:19:00";2143,5;0,233263;500;0;1;;"Buy";"trade_republic";"Security";"US58733R1023";"A0MYNP";;"EUR";;;"Mercado Libre";"";"langschwarz";
"2025-07-04T17:18:00.000Z";"04.07.2025";"19:18:00";15,56;125;1944,38;0;1;;"Buy";"trade_republic";"Security";"US8036071004";"A1J1BH";;"EUR";;;"Sarepta Therapeutics";"";"langschwarz";
"2025-07-03T18:39:00.000Z";"03.07.2025";"20:39:00";19,16;80;1532,8;0;1;;"Buy";"trade_republic";"Security";"JP3475350009";"A0F57T";;"EUR";;;"Daiichi Sankyo";"";"langschwarz";
"2025-07-03T18:36:00.001Z";"03.07.2025";"20:36:00";101,28;40;4051,2;77,79;1;275,62;"Sell";"trade_republic";"Security";"IE00B7Y34M31";"A1VBKR";;"EUR";;;"WisdomTree S&P 500 3x Daily Leveraged";"";"langschwarz";19567231116
"2025-07-03T18:36:00.000Z";"03.07.2025";"20:36:00";101,28;0,722539;73,18;1,41;0;12,35;"Sell";"trade_republic";"Security";"IE00B7Y34M31";"A1VBKR";;"EUR";;;"WisdomTree S&P 500 3x Daily Leveraged";"";"langschwarz";35724960000
"2025-07-03T07:00:00.000Z";"03.07.2025";"09:00:00";0,00842;19;0,16;0,03;0;;"Dividend";"scalable_capital";"Security";"US67066G1040";"918422";;"EUR";;;"NVIDIA";;"";
"2025-07-03T04:14:49.882Z";"03.07.2025";"06:14:00";1;48;48;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-02T23:59:37.698Z";"03.07.2025";"01:59:00";1;56;56;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-07-02T07:00:00.028Z";"02.07.2025";"09:00:00";9,99;0,297386;2,97;0,74;0;;"Buy";"trade_republic";"Security";"IE0003XJA0J9";"ETF151";;"EUR";;;"Amundi Prime All Country World UCITS ETF - USD ACC";"";"langschwarz";
"2025-07-02T07:00:00.027Z";"02.07.2025";"09:00:00";129;0,193798;25;0;0;;"Buy";"trade_republic";"Security";"US81141R1005";"A2H5LX";;"EUR";;;"Sea (ADR)";"";"langschwarz";
"2025-07-02T07:00:00.026Z";"02.07.2025";"09:00:00";2142,02;0,046685;100;0;0;;"Buy";"trade_republic";"Security";"US58733R1023";"A0MYNP";;"EUR";;;"Mercado Libre";"";"langschwarz";
"2025-07-02T07:00:00.025Z";"02.07.2025";"09:00:00";196,6;0,254323;50;0;0;;"Buy";"trade_republic";"Security";"US8740391003";"909800";;"EUR";;;"TSMC (ADR)";"";"langschwarz";
"2025-07-02T07:00:00.024Z";"02.07.2025";"09:00:00";73,4;0,681198;50;0;0;;"Buy";"trade_republic";"Security";"US48581R2058";"A2QD9Y";;"EUR";;;"Kaspi.kz";"";"langschwarz";
"2025-07-02T07:00:00.023Z";"02.07.2025";"09:00:00";46,83;1,067691;50;0;0;;"Buy";"trade_republic";"Security";"NL0013654783";"A2PRDK";;"EUR";;;"Prosus";"";"langschwarz";
"2025-07-02T07:00:00.022Z";"02.07.2025";"09:00:00";404,8;0,247035;100;0;0;;"Buy";"trade_republic";"Security";"IE000S9YS762";"A3D7VW";;"EUR";;;"Linde";"";"langschwarz";
"2025-07-02T07:00:00.021Z";"02.07.2025";"09:00:00";111,05;0,225123;25;0;0;;"Buy";"trade_republic";"Security";"US98419M1009";"A1JMBU";;"EUR";;;"XYLEM";"";"langschwarz";
"2025-07-02T07:00:00.020Z";"02.07.2025";"09:00:00";120,5;0,414937;50;0;0;;"Buy";"trade_republic";"Security";"US0304201033";"A0NJ38";;"EUR";;;"American Water Works";"";"langschwarz";
"2025-07-02T07:00:00.019Z";"02.07.2025";"09:00:00";449,85;0,222296;100;0;0;;"Buy";"trade_republic";"Security";"US78409V1044";"A2AHZ7";;"EUR";;;"S&P Global";"";"langschwarz";
"2025-07-02T07:00:00.018Z";"02.07.2025";"09:00:00";331,9;0,301295;100;0;0;;"Buy";"trade_republic";"Security";"JP3236200006";"874827";;"EUR";;;"Keyence";"";"langschwarz";
"2025-07-02T07:00:00.017Z";"02.07.2025";"09:00:00";495,1;0,100989;50;0;0;;"Buy";"trade_republic";"Security";"US55354G1004";"A0M63R";;"EUR";;;"MSCI";"";"langschwarz";
"2025-07-02T07:00:00.016Z";"02.07.2025";"09:00:00";298,3;0,335232;100;0;0;;"Buy";"trade_republic";"Security";"US92826C8394";"A0NC7B";;"EUR";;;"Visa";"";"langschwarz";
"2025-07-02T07:00:00.015Z";"02.07.2025";"09:00:00";407,21;0,061394;25;0;0;;"Buy";"trade_republic";"Security";"US49714P1084";"A2APEC";;"EUR";;;"Kinsale Capital";"";"langschwarz";
"2025-07-02T07:00:00.014Z";"02.07.2025";"09:00:00";858,41;0,116495;100;0;0;;"Buy";"trade_republic";"Security";"US81762P1021";"A1JX4P";;"EUR";;;"ServiceNow";"";"langschwarz";
"2025-07-02T07:00:00.013Z";"02.07.2025";"09:00:00";50,79;0,984445;50;0;0;;"Buy";"trade_republic";"Security";"GB0007188757";"852147";;"EUR";;;"Rio Tinto";"";"langschwarz";
"2025-07-02T07:00:00.012Z";"02.07.2025";"09:00:00";410,7;0,121743;50;0;0;;"Buy";"trade_republic";"Security";"US0846707026";"A0YJQ2";;"EUR";;;"Berkshire Hathaway ‘B’";"";"langschwarz";
"2025-07-02T07:00:00.011Z";"02.07.2025";"09:00:00";187,08;0,267265;50;0;0;;"Buy";"trade_republic";"Security";"US0231351067";"906866";;"EUR";;;"Amazon";"";"langschwarz";
"2025-07-02T07:00:00.010Z";"02.07.2025";"09:00:00";12,16;8,223684;100;0;0;;"Buy";"trade_republic";"Security";"GB00BLDYK618";"A115BA";;"EUR";;;"Scottish Mort Inv Tst";"";"langschwarz";
"2025-07-02T07:00:00.009Z";"02.07.2025";"09:00:00";465,95;0,107307;50;0;0;;"Buy";"trade_republic";"Security";"US46120E6023";"888024";;"EUR";;;"Intuitive Surgical";"";"langschwarz";
"2025-07-02T07:00:00.008Z";"02.07.2025";"09:00:00";9,99;97,626914;975;0;0;;"Buy";"trade_republic";"Security";"IE0003XJA0J9";"ETF151";;"EUR";;;"Amundi Prime All Country World UCITS ETF - USD ACC";"";"langschwarz";
"2025-07-02T07:00:00.007Z";"02.07.2025";"09:00:00";103,3;0,968054;100;0;0;;"Buy";"trade_republic";"Security";"JP3481800005";"857771";;"EUR";;;"Daikin Industries";"";"langschwarz";
"2025-07-02T07:00:00.006Z";"02.07.2025";"09:00:00";59,72;0,41862;25;0;0;;"Buy";"trade_republic";"Security";"DK0062498333";"A3EU6F";;"EUR";;;"Novo Nordisk 'B'";"";"langschwarz";
"2025-07-02T07:00:00.005Z";"02.07.2025";"09:00:00";29,85;0,83752;25;0;0;;"Buy";"trade_republic";"Security";"US7731211089";"A419CG";;"EUR";;;"Rocket Lab 'A'";"";;
"2025-07-02T07:00:00.004Z";"02.07.2025";"09:00:00";52,6;0,95057;50;0;0;;"Buy";"trade_republic";"Security";"CA11271J1075";"A3D3EV";;"EUR";;;"Brookfield Corporation";"";"langschwarz";
