Date Sold,Ticker,Asset Type,Quantity,Proceeds (EUR),Cost Basis (EUR),Realized Gain (EUR),Holding Period (days),Date Acquired
2025-12-08,MSCI,Stock,2.680714,"€1,239.56","€1,300.79",€-61.23,216,2025-05-06
2025-12-08,CADLF,Stock,200.0,€797.60,€889.20,€-91.60,193,2025-05-29
2025-12-08,DKILF,Stock,0.470677,€51.09,€48.14,€2.95,189,2025-06-02
2025-12-08,KYCCF,Stock,0.010773,€3.23,€3.54,€-0.31,206,2025-05-16
2025-12-08,ISRG,Stock,1.303676,€644.47,€545.00,€99.47,206,2025-05-16
2025-12-08,KNSL,Stock,1.0,€303.70,€372.75,€-69.05,220,2025-05-02
2025-12-08,CAMRF,Stock,10.0,€545.50,€466.60,€78.90,193,2025-05-29
2025-12-08,TSM,Stock,1.667171,€429.30,€253.97,€175.33,777,2023-10-23
2025-12-08,DKILF,Stock,3.0,€325.65,€306.86,€18.79,189,2025-06-02
2025-12-08,KYCCF,Stock,2.0,€598.80,€656.46,€-57.66,206,2025-05-16
2025-12-08,KNSL,Stock,0.314545,€95.53,€117.25,€-21.72,220,2025-05-02
2025-12-08,SPGI,Stock,0.800117,€340.61,€355.00,€-14.39,206,2025-05-16
2025-12-08,LIN,Stock,1.025972,€351.91,€400.00,€-48.09,159,2025-07-02
2025-12-08,MSTR,Stock,0.014029,€2.19,€5.00,€-2.81,206,2025-05-16
2025-12-08,BRK/B,Stock,0.78517,€337.70,€335.00,€2.70,220,2025-05-02
2025-12-08,CRWD,Stock,0.688631,€303.34,€275.00,€28.34,159,2025-07-02
2025-12-08,EADSF,Stock,0.355763,€70.39,€60.00,€10.39,220,2025-05-02
2025-12-08,PROSF,Stock,0.852802,€44.28,€44.27,€0.01,159,2025-07-02
2025-12-08,NOW,Stock,1.55447,€228.54,€250.00,€-21.46,159,2025-07-02
2025-12-08,SBGSF,Stock,0.178729,€42.38,€41.70,€0.68,175,2025-06-16
2025-12-08,RTPPF,Stock,4.796473,€302.13,€260.00,€42.13,220,2025-05-02
2025-12-08,PROSF,Stock,3.0,€155.76,€155.73,€0.03,159,2025-07-02
2025-12-08,SBGSF,Stock,1.0,€237.10,€233.30,€3.80,175,2025-06-16
2025-12-08,V,Stock,0.335232,€95.83,€100.00,€-4.17,159,2025-07-02
2025-12-08,RNMBF,Stock,0.078251,€122.78,€130.00,€-7.22,206,2025-05-16
2025-12-08,XYL,Stock,1.476988,€176.13,€170.00,€6.13,189,2025-06-02
2025-12-08,RKLB,Stock,0.83752,€42.80,€25.00,€17.80,159,2025-07-02
2025-12-08,STMZF,Stock,0.223684,€2.80,€2.72,€0.08,159,2025-07-02
2025-12-08,STMZF,Stock,8.0,€100.24,€97.28,€2.96,159,2025-07-02
2025-12-08,DDOG,Stock,0.31104,€40.57,€30.00,€10.57,220,2025-05-02
2025-12-08,TGTX,Stock,0.97688,€25.50,€30.00,€-4.50,206,2025-05-16
2025-12-08,FTNT,Stock,0.848896,€63.30,€75.00,€-11.70,189,2025-06-02
2025-12-08,HUBS,Stock,0.008369,€2.75,€5.00,€-2.25,206,2025-05-16
2025-12-08,RYDAF,Stock,1.715354,€54.08,€50.52,€3.56,189,2025-06-02
2025-12-08,GMAB.CO,Stock,0.112612,€30.95,€23.02,€7.93,433,2024-10-01
2025-12-08,PLTR,Stock,0.043081,€6.72,€5.00,€1.72,206,2025-05-16
2025-12-08,GRAB,Stock,0.878528,€3.91,€3.85,€0.06,350,2024-12-23
2025-12-08,ADYYF,Stock,0.006025,€8.20,€10.00,€-1.80,206,2025-05-16
2025-12-08,GRAB,Stock,11.0,€49.02,€48.20,€0.82,350,2024-12-23
2025-12-08,CPNG,Stock,0.202306,€4.66,€5.00,€-0.34,206,2025-05-16
